GameID,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Corr,Amb
51,-2,1,-2,-,1,40,0.25,-16,Symm,9,0,0
52,5,0.95,-24,Symm,3,8,0.99,-10,-,1,0,0
53,42,0.2,6,Symm,3,53,0.5,-20,L-skew,4,0,1
54,12,0.6,-18,-,1,25,0.25,-18,-,1,0,0
55,6,1,6,-,1,10,0.99,5,-,1,0,0
56,8,1,8,-,1,11,0.1,3,Symm,3,0,0
57,18,1,18,-,1,72,0.01,19,L-skew,3,0,0
58,-7,1,-7,-,1,-4,0.95,-4,-,1,0,0
59,66,0.05,-9,Symm,5,67,0.01,1,-,1,0,1
60,27,1,27,-,1,32,0.8,24,-,1,0,0
61,33,0.05,-7,-,1,83,0.25,-24,-,1,1,0
62,29,1,29,-,1,55,0.4,15,Symm,7,0,0
63,0,1,0,-,1,68,0.1,-11,R-skew,4,0,0
64,27,1,27,-,1,92,0.2,8,-,1,0,0
65,16,1,16,-,1,24,0.95,-13,L-skew,3,0,0
66,12,0.2,-1,L-skew,6,37,0.2,-12,Symm,7,0,0
67,28,0.2,-2,-,1,8,0.75,-6,-,1,0,0
68,20,1,20,-,1,33,0.75,-11,-,1,0,0
69,25,1,25,-,1,80,0.05,28,R-skew,7,0,0
70,11,0.9,3,-,1,98,0.01,14,L-skew,6,0,0
71,1,1,1,R-skew,4,1,1,1,Symm,5,0,0
72,5,1,5,-,1,18,0.6,-21,-,1,0,0
73,53,0.2,-21,-,1,73,0.1,-9,-,1,0,0
74,19,1,19,-,1,68,0.2,8,-,1,0,0
75,28,0.6,-15,Symm,5,45,0.2,6,-,1,0,0
76,38,0.25,9,-,1,16,1,16,Symm,3,0,0
77,46,0.05,2,-,1,36,0.25,-5,-,1,0,0
78,80,0.4,-8,L-skew,6,68,0.2,11,-,1,0,0
79,40,0.25,-17,-,1,5,0.8,-34,Symm,7,0,0
80,53,0.05,17,-,1,28,0.05,11,R-skew,2,0,0
81,20,0.8,-18,-,1,12,1,12,L-skew,4,0,0
82,1,1,1,-,1,93,0.2,-33,-,1,0,0
83,10,1,10,-,1,12,0.9,-15,Symm,7,0,0
84,10,1,10,-,1,41,0.25,-3,-,1,0,1
85,69,0.6,-48,L-skew,5,55,0.1,34,-,1,0,0
86,24,1,24,-,1,39,0.25,23,-,1,0,0
87,11,0.75,-30,R-skew,2,-1,0.4,-9,Symm,3,0,0
88,6,1,6,-,1,20,0.8,16,L-skew,3,0,0
89,32,0.1,8,-,1,33,0.05,7,Symm,3,0,0
90,82,0.25,6,Symm,5,73,0.01,26,-,1,0,0
91,-4,0.9,-24,-,1,27,0.6,-38,L-skew,4,0,0
92,14,1,14,-,1,181,0.1,-7,-,1,0,0
93,21,1,21,-,1,43,0.4,16,-,1,0,1
94,32,0.5,-8,L-skew,3,49,0.4,-19,Symm,5,0,0
95,52,0.4,14,-,1,30,0.99,-30,Symm,7,0,0
96,16,1,16,-,1,44,0.4,-6,L-skew,2,0,0
97,10,1,10,-,1,29,0.8,-35,-,1,0,0
98,26,1,26,-,1,57,0.6,-6,-,1,0,0
99,65,0.4,7,-,1,79,0.1,28,-,1,0,0
100,10,1,10,-,1,67,0.4,-14,-,1,0,0
101,12,0.6,-25,-,1,7,0.25,-15,-,1,0,0
102,6,1,6,-,1,62,0.2,-7,-,1,0,0
103,9,1,9,-,1,9,1,9,R-skew,7,0,1
104,9,1,9,-,1,46,0.1,1,R-skew,7,0,0
105,13,1,13,-,1,13,0.95,-5,L-skew,6,0,0
106,10,1,10,-,1,58,0.4,-13,L-skew,2,0,1
107,22,0.95,3,-,1,63,0.5,-6,L-skew,2,1,0
108,16,1,16,-,1,101,0.05,11,-,1,0,1
109,23,1,23,-,1,187,0.2,-15,Symm,3,0,0
110,5,1,5,-,1,20,0.5,-24,R-skew,4,0,0
111,21,1,21,-,1,109,0.4,-41,L-skew,6,0,0
112,30,0.6,-43,-,1,15,0.4,-14,Symm,5,0,0
113,27,0.25,19,Symm,9,47,0.5,8,-,1,0,1
114,12,0.05,-1,R-skew,4,11,0.5,-12,Symm,3,0,0
115,27,0.25,-2,-,1,49,0.2,-9,-,1,0,0
116,63,0.6,-27,-,1,40,0.01,19,-,1,0,1
117,20,0.95,-2,-,1,54,0.01,14,-,1,0,0
118,92,0.5,-46,-,1,23,1,23,Symm,7,0,0
119,-4,1,-4,-,1,-4,1,-4,Symm,7,0,0
120,60,0.4,-50,-,1,-13,0.8,-45,-,1,0,0
121,5,1,5,-,1,21,0.2,6,-,1,0,0
122,28,0.4,25,-,1,72,0.25,26,-,1,-1,0
123,-8,0.95,-26,-,1,-5,0.4,-13,R-skew,7,0,0
124,15,1,15,-,1,15,0.5,10,R-skew,6,0,0
125,60,0.25,-1,-,1,26,0.5,6,-,1,0,0
126,177,0.2,-33,-,1,32,0.01,12,Symm,5,0,1
127,35,0.05,29,-,1,92,0.1,25,-,1,0,0
128,30,0.4,2,Symm,5,104,0.05,11,-,1,0,0
129,-1,1,-1,-,1,50,0.4,-20,R-skew,5,0,0
130,0,1,0,-,1,30,0.6,-47,L-skew,4,0,0
131,57,0.25,-26,L-skew,6,-5,1,-5,-,1,0,0
132,39,0.25,-24,-,1,-8,1,-8,R-skew,7,0,0
133,2,1,2,-,1,43,0.1,-1,-,1,0,0
134,11,0.1,-1,-,1,4,0.5,-13,-,1,0,0
135,11,0.05,11,L-skew,2,51,0.01,8,Symm,7,0,0
136,16,1,16,-,1,16,0.6,8,Symm,7,0,1
137,-7,1,-7,-,1,80,0.01,-2,-,1,0,0
138,28,1,28,-,1,47,0.25,27,-,1,0,1
139,18,1,18,-,1,43,0.5,3,R-skew,4,0,0
140,27,1,27,-,1,42,0.6,-2,-,1,0,0
141,26,1,26,L-skew,6,20,0.95,16,Symm,5,0,0
142,10,1,10,-,1,79,0.05,3,R-skew,5,0,0
143,47,0.01,7,-,1,7,0.95,-2,-,1,0,0
144,20,1,20,-,1,62,0.01,29,-,1,0,0
145,7,0.2,-2,-,1,74,0.01,-2,Symm,9,-1,0
146,-1,1,-1,-,1,3,0.6,-1,R-skew,3,0,0
147,4,1,4,-,1,21,0.01,9,-,1,0,0
148,-4,1,-4,L-skew,2,-3,0.75,-10,-,1,0,0
149,38,0.6,-20,Symm,3,78,0.5,-36,R-skew,4,0,1
150,14,1,14,-,1,42,0.75,-39,-,1,0,0
151,-3,1,-3,-,1,-3,1,-3,R-skew,7,0,1
152,12,1,12,-,1,189,0.01,12,-,1,0,0
153,29,0.05,7,-,1,28,0.25,8,-,1,0,0
154,16,1,16,-,1,60,0.6,-43,-,1,0,0
155,15,1,15,-,1,233,0.05,6,-,1,0,1
156,14,0.9,-6,-,1,36,0.5,-18,R-skew,7,-1,1
157,17,1,17,-,1,80,0.05,18,Symm,5,0,0
158,-10,1,-10,-,1,10,0.25,-14,Symm,3,0,0
159,14,1,14,-,1,24,0.8,-13,Symm,9,0,0
160,3,1,3,-,1,56,0.01,0,Symm,7,0,0
161,20,1,20,-,1,31,0.6,-2,Symm,3,0,1
162,16,0.05,-4,-,1,44,0.4,-20,Symm,7,0,0
163,-1,1,-1,-,1,-1,1,-1,L-skew,2,0,0
164,5,0.75,1,-,1,37,0.1,-5,-,1,0,0
165,-8,1,-8,-,1,0,0.6,-15,-,1,0,1
166,19,0.75,-29,-,1,15,0.4,7,L-skew,4,0,0
167,17,1,17,-,1,21,0.05,20,R-skew,7,0,0
168,55,0.25,11,Symm,9,17,0.6,16,-,1,0,0
169,70,0.2,-11,-,1,17,0.75,-17,R-skew,6,0,0
170,15,1,15,-,1,18,0.9,3,-,1,0,0
171,143,0.1,-17,-,1,12,0.8,3,-,1,0,1
172,8,1,8,-,1,8,1,8,R-skew,3,0,1
173,1,0.95,-14,-,1,20,0.05,1,-,1,0,0
174,1,1,1,-,1,18,0.8,-33,L-skew,2,0,0
175,-6,1,-6,-,1,-6,1,-6,R-skew,3,0,0
176,25,0.8,24,-,1,138,0.1,13,L-skew,7,0,1
177,62,0.2,-12,-,1,3,0.01,2,-,1,-1,0
178,-5,0.75,-22,-,1,-12,0.99,-31,-,1,0,0
179,15,1,15,-,1,45,0.5,-26,-,1,0,0
180,13,1,13,-,1,26,0.2,22,-,1,0,1
181,26,0.8,-49,-,1,34,0.5,-17,-,1,0,0
182,24,0.25,-8,Symm,7,18,0.01,1,-,1,0,0
183,25,1,25,-,1,40,0.4,15,-,1,0,1
184,91,0.25,-5,L-skew,7,21,0.95,-29,Symm,5,0,1
185,23,0.9,19,R-skew,3,55,0.6,-41,Symm,9,0,0
186,27,1,27,-,1,32,0.4,15,Symm,7,0,0
187,26,1,26,-,1,60,0.05,22,R-skew,5,0,0
188,-10,1,-10,-,1,9,0.01,-11,Symm,7,0,0
189,1,1,1,-,1,117,0.25,-41,Symm,7,0,0
190,5,1,5,-,1,65,0.01,4,Symm,5,0,0
191,44,0.05,23,-,1,34,0.75,13,-,1,-1,0
192,16,1,16,-,1,84,0.25,-7,-,1,0,1
193,-2,1,-2,-,1,-2,1,-2,L-skew,2,0,0
194,82,0.25,6,-,1,116,0.25,-17,R-skew,7,0,0
195,4,1,4,-,1,-4,0.75,-9,R-skew,3,0,0
196,-4,1,-4,-,1,6,0.5,-6,-,1,0,0
197,14,0.2,-11,-,1,2,0.75,0,R-skew,4,0,1
198,92,0.25,8,-,1,53,0.4,25,R-skew,3,-1,0
199,24,1,24,-,1,79,0.4,-8,Symm,5,0,0
200,18,0.8,-5,L-skew,5,18,0.9,-17,Symm,5,0,0
201,250,0.05,-10,Symm,7,82,0.05,3,Symm,9,0,0
202,32,0.25,15,R-skew,2,60,0.2,13,-,1,0,0
203,31,0.25,12,-,1,72,0.25,-2,Symm,5,0,0
204,13,0.5,-1,R-skew,3,65,0.2,-14,R-skew,6,0,0
205,-5,1,-5,-,1,3,0.8,-35,Symm,9,0,0
206,24,1,24,Symm,3,29,0.9,19,-,1,0,0
207,28,0.6,8,-,1,20,1,20,L-skew,4,0,0
208,22,0.25,17,-,1,103,0.25,-12,-,1,0,1
209,76,0.05,24,-,1,70,0.4,2,-,1,1,0
210,-10,1,-10,-,1,35,0.4,-29,Symm,7,0,0
211,26,1,26,-,1,28,0.25,23,-,1,0,0
212,-8,1,-8,-,1,-8,1,-8,Symm,3,0,0
213,197,0.25,-47,-,1,45,0.25,-3,-,1,1,1
214,30,0.9,18,-,1,67,0.1,33,-,1,0,1
215,7,1,7,-,1,140,0.25,-34,Symm,3,0,0
216,-2,1,-2,-,1,-4,0.99,-35,-,1,0,0
217,18,1,18,-,1,44,0.25,3,Symm,5,0,0
218,37,0.05,18,L-skew,4,30,0.4,7,Symm,3,0,0
219,17,0.95,-3,L-skew,6,16,1,16,-,1,0,0
220,63,0.25,-9,-,1,15,0.8,-42,-,1,0,0
221,36,0.4,-36,-,1,-7,0.95,-36,Symm,5,0,0
222,14,1,14,-,1,100,0.2,-12,-,1,0,1
223,11,0.75,-2,-,1,69,0.25,-8,-,1,0,1
224,21,0.95,9,L-skew,5,20,1,20,L-skew,2,0,0
225,-9,1,-9,R-skew,8,-4,0.9,-23,-,1,0,0
226,11,0.5,-25,L-skew,3,36,0.1,-19,R-skew,5,0,1
227,28,0.8,-30,-,1,53,0.1,10,-,1,0,0
228,-3,0.5,-5,Symm,3,34,0.25,-5,Symm,3,1,0
229,65,0.25,-3,-,1,43,0.1,1,-,1,0,0
230,18,1,18,-,1,112,0.25,-19,-,1,0,0
231,51,0.6,-21,Symm,9,22,1,22,-,1,0,0
232,18,0.1,-2,Symm,9,39,0.5,-31,-,1,0,1
233,152,0.05,12,L-skew,4,24,0.6,6,Symm,7,0,0
234,26,1,26,-,1,72,0.1,16,Symm,7,0,0
235,11,1,11,-,1,47,0.5,-36,Symm,5,0,0
236,46,0.5,-8,Symm,3,15,0.8,-2,-,1,1,1
237,47,0.25,-22,-,1,9,0.8,-36,Symm,3,0,0
238,86,0.05,3,L-skew,7,4,0.99,-21,-,1,0,0
239,54,0.01,29,-,1,81,0.25,16,-,1,0,0
240,23,0.8,12,-,1,39,0.25,10,-,1,0,0
241,13,0.75,-11,-,1,16,0.25,15,-,1,0,0
242,13,0.5,-5,-,1,10,0.01,5,R-skew,6,0,0
243,8,0.4,-4,-,1,15,0.05,-1,-,1,0,0
244,74,0.5,-30,Symm,7,22,0.95,-4,Symm,7,0,0
245,18,0.8,-32,-,1,137,0.05,5,Symm,3,0,0
246,19,0.95,-37,-,1,39,0.6,-14,-,1,-1,0
247,13,1,13,-,1,44,0.1,20,Symm,3,0,1
248,4,1,4,-,1,65,0.4,-31,Symm,3,0,0
249,-9,1,-9,-,1,2,0.05,-24,L-skew,3,0,0
250,44,0.4,-6,-,1,54,0.5,-15,-,1,0,0
251,24,1,24,-,1,79,0.6,-47,Symm,9,0,0
252,14,0.05,-1,L-skew,6,54,0.01,-1,-,1,0,0
253,87,0.2,-19,-,1,11,0.6,-4,R-skew,7,0,1
254,18,0.2,13,-,1,27,0.6,-3,Symm,5,0,0
255,15,0.99,-5,-,1,27,0.8,-16,-,1,0,1
256,19,1,19,-,1,79,0.25,-4,-,1,0,0
257,8,1,8,-,1,82,0.01,9,Symm,5,0,0
258,29,0.5,13,-,1,104,0.2,2,-,1,1,0
259,13,0.5,-23,-,1,-2,0.6,-21,-,1,0,1
260,-10,1,-10,-,1,-11,0.75,-18,-,1,0,1
261,-7,1,-7,-,1,-8,0.01,-11,L-skew,5,0,1
262,-7,1,-7,-,1,22,0.1,-9,Symm,9,0,0
263,96,0.2,-30,R-skew,7,6,0.6,-16,-,1,0,0
264,18,0.75,-30,-,1,78,0.25,-11,-,1,0,0
265,45,0.5,-27,L-skew,6,49,0.1,1,-,1,-1,0
266,8,0.25,4,-,1,54,0.5,-40,L-skew,6,0,0
267,24,0.99,8,Symm,5,35,0.6,26,Symm,3,0,0
268,9,1,9,R-skew,6,45,0.05,4,L-skew,2,0,0
269,-2,1,-2,-,1,18,0.4,-9,-,1,0,0
270,-5,1,-5,-,1,0,0.05,-10,Symm,9,0,0
271,10,1,10,-,1,41,0.1,4,-,1,0,0
272,30,1,30,-,1,37,0.6,29,-,1,0,0
273,5,1,5,-,1,14,0.4,-4,R-skew,7,0,1
274,48,0.05,8,-,1,38,0.1,4,L-skew,2,0,1
275,-1,1,-1,-,1,13,0.05,5,-,1,0,0
276,84,0.01,-7,Symm,9,49,0.1,-9,Symm,5,0,0
277,21,0.4,-26,Symm,3,28,0.2,-13,Symm,7,0,0
278,0,1,0,-,1,23,0.05,-3,R-skew,7,0,0
279,45,0.01,8,-,1,43,0.2,0,-,1,-1,0
280,61,0.1,7,L-skew,3,23,0.2,13,Symm,3,0,0
281,164,0.2,-21,Symm,9,18,0.75,-12,Symm,7,0,0
282,26,1,26,-,1,26,1,26,Symm,3,0,0
283,10,0.75,-17,R-skew,5,3,0.6,2,-,1,0,0
284,76,0.1,-14,Symm,7,-5,0.4,-7,-,1,1,0
285,-8,1,-8,-,1,41,0.4,-31,Symm,3,0,0
286,-8,1,-8,-,1,108,0.05,-20,Symm,9,0,0
287,5,1,5,-,1,5,1,5,R-skew,7,0,0
288,20,0.95,11,-,1,22,0.01,18,R-skew,3,0,0
289,26,0.1,-1,Symm,9,4,0.99,-7,-,1,0,0
290,23,1,23,-,1,91,0.1,13,L-skew,5,0,1
291,18,1,18,-,1,42,0.4,11,Symm,9,0,0
292,10,0.4,2,L-skew,4,174,0.1,-20,Symm,7,0,0
293,65,0.25,-8,-,1,46,0.25,-9,Symm,3,1,1
294,-3,1,-3,-,1,46,0.05,-3,L-skew,2,0,0
295,17,0.95,8,-,1,40,0.25,7,Symm,9,0,1
296,17,1,17,-,1,16,0.95,-8,L-skew,6,0,0
297,12,1,12,-,1,39,0.6,-32,-,1,0,0
298,21,1,21,-,1,28,0.5,12,-,1,0,0
299,20,0.99,8,Symm,3,61,0.25,-6,Symm,5,-1,0
300,22,1,22,-,1,20,0.2,19,Symm,9,0,0
301,25,1,25,-,1,115,0.2,5,-,1,0,0
302,-6,1,-6,-,1,50,0.4,-41,-,1,0,0
303,23,0.99,21,R-skew,2,201,0.2,-14,Symm,3,-1,0
304,0,1,0,-,1,5,0.05,-1,Symm,7,0,0
305,9,1,9,-,1,136,0.25,-38,-,1,0,0
306,17,1,17,-,1,11,0.99,-19,-,1,0,0
307,41,0.25,20,-,1,37,0.8,-11,Symm,7,0,0
308,9,0.8,-20,-,1,6,0.9,-40,R-skew,8,0,0
309,-1,0.1,-3,-,1,26,0.05,-3,Symm,9,0,1
310,22,0.01,18,R-skew,6,32,0.2,11,Symm,7,0,0
311,50,0.5,-10,Symm,9,44,0.6,-16,-,1,0,0
312,21,1,21,-,1,43,0.1,22,-,1,0,0
313,17,0.5,-13,-,1,23,0.5,1,L-skew,2,0,0
314,41,0.75,-6,-,1,48,0.8,-10,Symm,5,1,0
315,11,0.2,5,-,1,6,1,6,Symm,5,0,0
316,7,1,7,-,1,14,0.1,-2,-,1,0,1
317,13,1,13,-,1,13,0.95,-2,-,1,0,1
318,7,1,7,-,1,21,0.75,-5,Symm,7,0,0
319,11,0.8,-11,-,1,19,0.6,-29,-,1,0,1
320,19,1,19,-,1,25,0.4,8,Symm,7,0,0
321,41,0.2,21,-,1,25,1,25,R-skew,7,0,0
322,27,0.1,-13,-,1,28,0.25,-31,-,1,0,0
323,1,1,1,-,1,-1,0.9,-10,-,1,0,0
324,3,1,3,-,1,17,0.5,-17,L-skew,3,0,0
325,29,0.2,-9,Symm,9,50,0.4,-43,Symm,7,0,0
326,103,0.25,-18,Symm,9,12,1,12,-,1,0,0
327,32,0.9,-2,-,1,29,1,29,-,1,0,0
328,17,1,17,-,1,20,0.99,-9,-,1,0,0
329,49,0.05,24,-,1,40,0.4,17,Symm,3,0,0
330,4,1,4,-,1,0,0.75,-17,Symm,3,0,0
331,18,1,18,Symm,3,25,0.6,16,-,1,0,1
332,24,1,24,-,1,29,0.6,11,-,1,0,0
333,30,0.01,1,Symm,3,10,0.5,7,-,1,0,0
334,9,1,9,-,1,64,0.25,4,-,1,0,1
335,51,0.25,6,Symm,7,85,0.2,-6,Symm,5,0,0
336,23,1,23,-,1,37,0.4,-2,-,1,0,0
337,-5,1,-5,-,1,13,0.6,-30,-,1,0,0
338,25,1,25,Symm,5,36,0.6,-4,Symm,7,0,0
339,29,1,29,-,1,32,0.6,14,-,1,0,0
340,28,1,28,-,1,53,0.25,11,-,1,0,0
341,88,0.5,-34,-,1,23,0.6,20,-,1,0,0
342,-7,1,-7,-,1,8,0.1,-5,-,1,0,0
343,1,1,1,-,1,9,0.2,5,-,1,0,0
344,75,0.25,-25,Symm,9,2,0.25,-4,-,1,-1,0
345,-3,1,-3,-,1,29,0.5,-39,L-skew,6,0,0
346,1,1,1,-,1,102,0.1,0,-,1,0,0
347,124,0.05,-16,-,1,31,0.25,-11,-,1,0,0
348,5,1,5,-,1,31,0.01,3,Symm,5,0,1
349,5,0.01,-4,-,1,47,0.1,-9,Symm,9,0,0
350,-2,1,-2,-,1,72,0.4,-39,-,1,0,0
351,60,0.4,-10,R-skew,3,18,1,18,-,1,0,0
352,-10,0.4,-10,-,1,-10,0.95,-28,-,1,0,0
353,26,0.95,21,Symm,7,54,0.2,17,R-skew,7,0,1
354,11,0.05,-5,-,1,44,0.25,-30,Symm,9,0,0
355,18,1,18,-,1,23,0.99,-6,R-skew,2,0,0
356,23,1,23,-,1,30,0.5,28,Symm,9,0,1
357,-10,1,-10,-,1,9,0.1,-1,R-skew,5,0,0
358,18,0.5,-26,Symm,5,-3,0.6,-43,Symm,7,0,0
359,1,1,1,-,1,29,0.6,-49,Symm,3,0,0
360,38,0.5,-30,Symm,9,6,0.99,-16,-,1,-1,0
361,50,0.05,25,-,1,27,0.2,20,-,1,0,0
362,23,0.75,10,-,1,36,0.2,18,-,1,0,0
363,4,1,4,-,1,47,0.01,7,-,1,0,0
364,2,0.6,-8,Symm,3,44,0.4,-24,-,1,-1,0
365,-5,1,-5,-,1,96,0.2,-29,Symm,5,0,0
366,16,0.95,15,-,1,166,0.25,-44,-,1,0,0
367,25,0.01,21,R-skew,3,45,0.6,-4,Symm,3,0,0
368,68,0.01,8,-,1,19,0.6,-28,-,1,0,0
369,0,1,0,-,1,35,0.2,-19,-,1,0,0
370,60,0.01,3,Symm,3,58,0.01,12,Symm,5,0,0
371,24,0.8,-26,-,1,59,0.01,22,R-skew,6,0,0
372,1,1,1,-,1,1,1,1,Symm,5,0,0
373,11,0.9,-15,-,1,9,0.25,5,-,1,0,0
374,13,1,13,-,1,41,0.5,-19,-,1,0,1
375,-7,1,-7,-,1,0,0.9,-5,Symm,9,0,1
376,17,1,17,-,1,16,0.99,8,-,1,0,0
377,41,0.75,-12,-,1,25,0.75,12,-,1,0,1
378,25,1,25,-,1,38,0.1,24,L-skew,4,0,0
379,9,1,9,-,1,16,0.6,-1,Symm,7,0,1
380,33,0.95,-24,-,1,55,0.05,21,Symm,9,0,0
381,138,0.2,-2,-,1,54,0.75,-46,Symm,3,-1,0
382,3,1,3,-,1,29,0.05,12,L-skew,5,0,1
383,25,1,25,-,1,27,0.8,3,-,1,0,0
384,13,1,13,-,1,13,1,13,L-skew,4,0,0
385,21,0.25,9,R-skew,2,12,0.95,7,R-skew,6,1,0
386,12,1,12,-,1,30,0.2,18,L-skew,5,0,0
387,31,0.9,-19,L-skew,4,52,0.01,18,Symm,7,0,0
388,14,1,14,-,1,61,0.5,-29,-,1,0,0
389,-2,1,-2,-,1,-6,0.75,-13,-,1,0,0
390,11,1,11,-,1,11,0.6,5,-,1,0,0
391,9,0.1,2,-,1,77,0.4,-49,Symm,5,0,0
392,14,0.95,-33,-,1,12,0.01,9,-,1,0,0
393,14,1,14,-,1,31,0.4,-4,Symm,9,0,1
394,30,1,30,R-skew,4,33,0.1,26,-,1,0,1
395,28,1,28,-,1,25,0.9,-13,L-skew,6,0,1
396,19,0.6,17,Symm,3,17,0.99,-12,-,1,-1,0
397,18,0.8,3,-,1,44,0.2,11,Symm,5,0,0
398,92,0.2,7,Symm,9,97,0.5,-41,Symm,9,0,0
399,71,0.25,-33,Symm,9,90,0.2,-32,-,1,-1,0
400,-2,1,-2,-,1,24,0.05,-1,-,1,0,0
401,27,0.8,-38,-,1,17,0.75,-15,-,1,0,0
402,23,1,23,-,1,56,0.05,34,R-skew,6,0,0
403,-8,0.25,-9,-,1,-1,0.5,-31,Symm,7,0,0
404,88,0.05,-3,L-skew,7,2,1,2,-,1,0,0
405,21,1,21,-,1,59,0.1,13,Symm,3,0,0
406,9,1,9,-,1,25,0.5,-12,Symm,3,0,0
407,3,0.6,-9,-,1,31,0.01,-10,-,1,0,0
408,34,0.6,-19,R-skew,5,25,0.8,-21,-,1,0,0
409,13,1,13,-,1,25,0.8,-16,-,1,0,0
410,154,0.25,-30,-,1,25,0.8,-20,L-skew,3,0,0
411,67,0.2,-28,-,1,18,0.05,-3,Symm,7,1,0
412,26,0.5,22,R-skew,2,117,0.25,-20,Symm,3,0,0
413,97,0.25,-11,-,1,62,0.01,24,-,1,0,0
414,14,1,14,-,1,50,0.2,10,R-skew,3,0,0
415,72,0.05,19,-,1,59,0.25,11,-,1,1,0
416,137,0.1,17,Symm,7,182,0.05,23,Symm,5,0,0
417,18,1,18,-,1,31,0.2,8,-,1,0,0
418,-3,0.01,-8,R-skew,4,-10,0.99,-24,-,1,0,0
419,18,0.75,10,-,1,66,0.01,25,-,1,0,0
420,25,1,25,-,1,27,0.8,-21,-,1,0,0
421,23,0.4,20,-,1,64,0.4,-8,Symm,5,0,0
422,34,0.1,8,L-skew,3,98,0.2,-24,-,1,0,0
423,35,0.75,14,-,1,43,0.8,1,-,1,-1,0
424,201,0.2,-24,-,1,37,0.2,18,Symm,7,-1,1
425,28,1,28,-,1,26,0.9,8,-,1,0,0
426,-6,1,-6,-,1,-1,0.9,-12,-,1,0,0
427,69,0.2,-7,-,1,16,0.01,5,Symm,5,0,1
428,41,0.01,6,-,1,21,0.6,5,-,1,0,0
429,-10,1,-10,-,1,-8,0.05,-19,-,1,0,1
430,13,1,13,-,1,9,0.8,-7,-,1,0,0
431,5,0.05,0,-,1,30,0.25,1,-,1,0,1
432,24,0.5,20,Symm,7,31,0.8,-7,-,1,0,0
433,28,0.6,20,Symm,7,150,0.2,-19,-,1,0,1
434,42,0.5,-38,-,1,10,0.8,-23,-,1,0,0
435,27,1,27,-,1,103,0.4,-16,Symm,9,0,0
